Supplier Name,Sum of Invoice Nett Amount
Ruskin Private Hire,"5,392.00"
3M United Kingdom Plc,"5,396.65"
Unique Personnel (Uk) Ltd,"5,397.00"
Capital Cars,"5,434.00"
F & C Consulting Services,"5,460.00"
Ashchurch House Ltd,"5,473.98"
Hyder Consulting Ltd,"5,482.74"
Fisher Meredith Solicitors,"5,500.00"
GIA,"5,525.00"
Future Health & Social Care Association C.I.C,"5,525.76"
University of Greenwich,"5,560.00"
Manon House,"5,591.07"
Supreme Care Services Ltd,"5,591.07"
Energy Auditing Agency Limited,"5,597.00"
AR-create Ltd.,"5,606.25"
Canon (UK) Ltd,"5,615.57"
Beacon Care Ltd,"5,616.23"
Aitch Care Homes Ltd,"5,662.86"
Prolog Print Media,"5,713.40"
Kingscare Fostering Agency Ltd,"5,757.12"
Truecare Holdings Ltd,"5,773.52"
Outlook Fostering Services Ltd,"5,791.80"
Norwood Ravenswood Services Ltd,"5,835.31"
Eversheds LLP,"5,878.00"
Mr Esala Ayuba-Kuwu,"5,887.16"
Vane Hill Care Homes,"5,894.54"
Waterloo Sports and Football Club,"5,902.00"
Snow-Camp,"5,903.00"
Monterpoint Technologies,"5,946.85"
Wainwright and Cummins Solicitors,"5,957.45"
Otis Limited,"5,971.64"
Credo Care Ltd,"5,992.00"
Independance,"6,000.00"
Clockwork Estates Ltd,"6,000.00"
Youth Scene,"6,000.00"
Peter De Haan Charitable Trust,"6,047.50"
Ashdene House Ltd,"6,091.50"
Richardson Partnership Care,"6,123.35"
George Potter Care Home Limited,"6,198.14"
London Creative Labs,"6,250.00"
Code 7 Ltd,"6,250.00"
Rosedene Nursing Home,"6,257.48"
Judith Wilson Consulting,"6,300.00"
Wessex Regional Care Ltd.,"6,307.88"
Pitney Bowes Finance PLC,"6,374.42"
Moria L Murray,"6,382.40"
Tunstall Group,"6,437.50"
Addington House Ltd,"6,485.07"
Home Connections Letting Ltd,"6,550.00"
Crofton Design,"6,579.86"
Dobbs Construction,"6,600.07"
Priory Rehabilitation Services Ltd Grange Potters Bar,"6,690.24"
Rosenmanor Residential Care Home,"6,732.82"
Cavendish School,"6,750.00"
Glenroyd House Ltd,"6,768.23"
Synergy Fostering,"6,797.23"
In Touch Support Ltd,"6,814.08"
FosterCare UK Ltd,"6,931.17"
Trident Refurbishment Ltd,"6,953.03"
Pentahact,"6,978.91"
Handicare Accessibility Ltd,"6,980.00"
Stockwell Park Estate Community Trust Ltd,"7,000.00"
St Johns Nursing Home Ltd,"7,090.02"
Atlas Healthcare Ltd,"7,094.80"
Home Farm Trust Ltd,"7,137.24"
What Architecture,"7,141.30"
Crawford Primary School,"7,152.28"
Access Mobility Transport Ltd,"7,182.00"
N Notaro Home Ltd.,"7,249.89"
Cascade Care,"7,299.92"
Ashbrook House Ltd,"7,384.20"
Robert Owen Communities,"7,462.32"
Barnardo Services Ltd,"7,481.00"
Broadway,"7,491.44"
LKA Educational Consultancy,"7,500.00"
Lambeth Senior Citizens Day Centre,"7,507.33"
Lambeth Elderly Association From Vietnam,"7,507.33"
Lambeth Scientific Services Ltd,"7,514.72"
TTSP,"7,551.00"
Care Support Services Ltd,"7,566.48"
Childlink Adoption Society,"7,568.00"
Clearblue Properties Ltd,"7,570.00"
L & C Gregson Limited,"7,594.20"
Burgess Park Care Centre,"7,600.31"
Alastair Wilson,"7,612.50"
Keyring Living Support Network,"7,622.08"
First Great Western Trains,"7,648.00"
The Priory Grange St Neots,"7,718.87"
Cool Milk Ltd,"7,737.00"
Together Working for Wellbeing,"7,742.48"
Voyage,"7,756.73"
D Sully & Son Limited,"7,874.26"
Beckenham Management Services Ltd,"7,875.00"
Action For Children Services Ltd.,"7,876.21"
Evelyn Grace Academy,"7,897.00"
The Platform Lift Co Ltd,"7,970.40"
Mr John Stephens,"8,000.00"
Notting Hill Housing Trust,"8,042.30"
Medicrest Limited t/a Acorn Care Homes,"8,152.37"
G M B ,"8,165.95"
Miles & Partners LLP,"8,250.00"
Appleyards DWB,"8,272.50"
The Artemis Team Ltd,"8,281.42"
London Printworks Trust,"8,328.14"
Futures Theatre Company,"8,333.13"
Joycare Home Services Ltd,"8,355.61"
Chrysalis Community Care Group Ltd,"8,404.93"
Hazeldene Ltd,"8,437.86"
Streatham Darby & Joan Club,"8,480.97"
Kirkdale Care Centre,"8,583.48"
Guernsey Grove Community Project,"8,589.29"
Charles Allotey & Co,"8,624.00"
Ubs Asset Management Ltd,"8,650.18"
Lambeth Asian Centre,"8,650.84"
Independent Lifestyles SS LLP,"8,697.72"
Unique Office Solutions Ltd,"8,716.00"
Brain Injury Rehabilitation Trust,"8,739.83"
Trustmarque Solutions Ltd,"8,770.10"
Focused Fostering,"8,805.57"
Taylormade Castings Ltd,"8,945.00"
Lambeth Public Transport Group,"9,000.00"
National Society For Epilepsy,"9,022.85"
Coin Co International Plc,"9,068.01"
Rediweld Traffic Products,"9,189.35"
Latin American Golden Years Club,"9,202.75"
St Christopher'S Fellowship,"9,226.68"
Time For Children Ltd,"9,300.00"
Wettons Cleaning Services Ltd,"9,319.59"
Positive Parenting and Children,"9,337.00"
Disability Adaptation Consultancy Services Ltd,"9,397.82"
BT Global Services,"9,446.10"
Janes House,"9,523.28"
The Chestnuts Limited,"9,532.36"
Viridian Housing,"9,701.48"
Blossom House School,"9,775.00"
Ashgate House,"9,810.88"
Lambeth Academy,"9,832.38"
Children of All Nations,"9,835.09"
Kennedys,"9,853.88"
Children First Fostering Agency Ltd,"9,884.97"
Global Secretarial,"9,950.00"
South London Business Limited,"10,000.00"
Normans (Burton Upon Trent) Ltd,"10,019.70"
Criminal Records Bureau,"10,190.00"
St Nicholas Lodge,"10,230.00"
Salvation Army,"10,241.02"
St Davids Care In The Community,"10,336.03"
Fulham FC Football & Community Scheme Ltd,"10,372.00"
MJ Events Support Ltd,"10,383.90"
Inclusive Care Support,"10,400.00"
HLMAD Ltd,"10,425.00"
Specialist Computer Centers Plc,"10,510.76"
BlenheimCDP,"10,644.15"
198 Contemporary Arts & Learning Ltd,"10,698.43"
Fairley House School,"10,750.00"
Unicorn House,"10,764.25"
Mace Ltd,"10,835.28"
SV LAW,"10,982.00"
Queen Elizabeth Foundation For The Disabled,"11,031.82"
Life Environmental Services LTD,"11,125.00"
Leigham Lodge Limited,"11,166.25"
Benecare Education & Residential Child Care,"11,200.00"
Newstart Training Ltd,"11,220.00"
Knights Court,"11,310.90"
Angell Town Emb,"11,560.00"
ASRA Greater London Housing Association Ltd,"11,676.22"
Waterloo Community Development Group,"11,704.25"
Integrated Services Programme,"11,812.86"
Allied Care Ltd,"11,814.72"
Cognithan Ltd,"11,884.18"
Mode Access Mobility,"11,886.50"
Centre Academy,"11,900.00"
RSP Rail Travel Account,"12,035.80"
Learning Logic Software,"12,100.00"
Lynstead Childrens Services,"12,108.29"
22 Design Ltd,"12,150.00"
Supreme Education PLC,"12,172.65"
Wernick Hire Ltd,"12,175.72"
Trinity Mirror Printing Watford Limited,"12,191.30"
Mission Care,"12,541.52"
Waratah House,"13,026.75"
Silveroak Construction Ltd,"13,054.50"
Consensus Healthcare Ltd,"13,111.63"
Powell Forster Solictors,"13,135.38"
Penna Plc,"13,162.00"
Mr F Hosanee,"13,209.48"
Willows Project,"13,213.72"
ADCRIS C.I.C,"13,254.11"
Industrial Lift Services Ltd,"13,323.00"
Safehouses,"13,329.93"
Linton Fuel Oils Ltd,"13,346.80"
Southern Adolescent Care Services Ltd,"13,414.01"
Damerin Ltd,"13,612.50"
Adminland Ltd,"13,779.36"
Contract Homes,"13,817.00"
ARVAL PHH,"13,818.93"
Springfield Road Ltd,"13,928.40"
RR Donnelley BSL Ltd,"13,958.20"
Browne Jacobson Solicitors,"14,145.55"
Trimmer CS,"14,304.52"
Be My Family Fostering Agency Ltd,"14,459.64"
D S Care Ltd,"14,474.25"
Consensa Care,"14,481.12"
Hertel (UK) Ltd,"14,565.36"
Fairlie House,"14,690.93"
Gretton Homes,"14,691.16"
International Visual Ltd,"14,700.00"
Priory Secure Services Chadwick Lodge,"14,880.00"
London & Essex Newspapers Ltd,"14,880.00"
Camilla Goddard,"15,166.00"
St Martin Of Tours Housing Association,"15,176.44"
Castle Care,"15,325.76"
Condover College Ltd,"15,353.70"
Creative Support Ltd,"15,407.60"
London Letterbox Marketing,"15,464.50"
Heath Farm Family Services,"15,477.06"
Equinox Ltd,"15,498.83"
Trevi House Ltd,"15,608.07"
Equinox,"15,710.55"
Blake House,"15,944.40"
Oval House,"15,964.36"
Scope,"16,057.64"
Brookdale Healthcare,"16,105.74"
The Childrens Trust,"16,110.00"
Kirkstall Lodge Ltd,"16,156.10"
Mercer Ltd,"16,260.00"
Southside Partnership Fanon Care,"16,384.14"
Vista,"16,500.00"
Glancestyle Care Homes Ltd,"16,505.99"
Big D Furniture Ltd,"16,714.50"
Rainbow Fostering Services Ltd,"16,730.52"
Gibsons Lodge,"16,731.94"
Age Concern Lambeth,"16,835.80"
Vosse Court Limited,"17,009.09"
Refuge,"17,119.96"
Hi Life Properties Ltd,"17,201.12"
Chrysalis Care,"17,205.42"
Parkview Nursing Home,"17,261.97"
Tumblewood Community,"17,271.34"
Melray Electrical Contractors,"17,488.25"
Fostering Outcomes,"17,782.64"
Asphaltic Limited,"17,789.37"
Wishing Well,"17,814.69"
Premier Windows Ltd,"18,149.05"
The Appropriate Adult Service,"18,250.02"
Holibrook House Ltd,"18,400.00"
