Supplier Name,Total
Meadowside Building Development Ltd,"1,305.42"
W F Howes Limited,"1,299.88"
Foxley Lodge,"1,296.01"
Coin Street Community Builders Ltd,"1,295.00"
Dobbs Construction,"1,282.00"
London South Bank University,"1,280.33"
Hooklands Nursing Home,"1,269.81"
Ashton Lodge,"1,263.25"
Elizabeth Court Rest Home,"1,262.63"
4-5 Gray's Inn Square Chambers Limited,"1,250.00"
The Manor Nursing and Residential Care,"1,230.03"
Little Hayes Care Home,"1,222.50"
Beverley Grange Nursing Home,"1,209.40"
Blanchworth Care,"1,208.12"
Estate 141 Ltd,"1,200.00"
Jon Holbrook,"1,200.00"
Matthew Feldman,"1,200.00"
The Event Hire Company,"1,190.00"
Stanholm Residential Care Home for the Elderly,"1,185.75"
Wentworth Croft,"1,170.52"
Mrs. C.C. von Eisenhart-Goodwin,"1,170.00"
Clarence Nursing Home,"1,125.16"
Action For Blind People,"1,117.20"
Camden Society,"1,100.00"
Npower Ltd,"1,089.48"
Aquarius Group,"1,082.47"
Guiness Trust Estate,"1,075.60"
Dynamic Initiatives Ltd,"1,067.50"
Drewstead Lodge,"1,067.11"
SES Care Homes Ltd,"1,065.86"
Mr Gabriel Anderson,"1,050.00"
Wallington Removals,"1,050.00"
Unique Help Group,"1,041.96"
Greensleeves Homes Trust,"1,003.49"
Duncan Lewis & Co,"1,000.00"
Tailormade Productions,"1,000.00"
Sitexorbis Ltd,992.50
Smart Teachers,990.00
West Lodge Residential Care Home,972.78
NowMedical,970.00
Upper Halliford Nursing Home,951.57
DNI Data and Electrical Installations Ltd,930.00
Safe Harbour Nursing Home,926.24
Loomis UK Ltd,922.99
Arlington House Residential Home,908.34
Care2Share Residential Family Centre,875.00
Little Stars Nursery,871.20
Newstead Nursing Home,871.01
Computastat Ltd,852.40
E.On Energy,840.71
London Letterbox Marketing,840.00
Zetetick Housing,837.20
South East London Family Mediation Bureau,819.25
Fostering & Adoptions,815.72
CareOLine,812.30
Thebigword,812.01
Gym-Fix Team Services Ltd,800.00
Kevin Smith,800.00
G4S Care & Justice Services (UK) Ltd,797.50
Ashmount Care Home with Nursing,785.97
City Suburban Tree Surgeons,759.32
Share Community Ltd,751.40
Mr Karl King,750.00
William Martin & Partners LLP,749.50
Safe & Sound,735.00
Southwark Newspaper Ltd,720.00
TM Search Choice Ltd,716.55
Howard Castle Care Centre,700.17
Mr John Church,700.00
Office Team Ltd,693.62
Screwfix Direct,675.95
Miss Paula Diaz,675.00
Cal Brown Ltd,648.50
Port Regis,641.40
Camphill Village Trust,639.80
Dementia UK,620.00
W C Evans & Sons Ltd,615.00
Straight Plc,600.66
Publicservice.co.uk Ltd,600.00
SGS United Kingdom Ltd,597.20
Intrinsic Technology Limited,596.37
Greathed Manor Nursing Home,590.70
Axcis Education Recruitment,585.00
Peters Ltd,581.94
Roberts & Dennys Removals,575.00
RSPCA,569.94
Clapham Park Homes,566.00
London Weekly Newspapers Ltd,560.00
National Fostering Agency,550.70
John Hamilton,550.00
ABC Consultants,540.00
The Yates Practice Ltd,540.00
CfBT Education Trust,532.00
Arco Ltd,531.00
Teddies Nurseries Ltd,523.54
Pitney Bowes Finance PLC,512.00
Libra Construction Services Ltd t/a Libra Building,510.00
Grand Total,"27,883,188.83"
